time="2022-11-18T18:37:46+05:30" level=info msg="# playfiles selected for load-testing: 1"
time="2022-11-18T18:37:46+05:30" level=info msg="1.     /plays/internal/short_demo/play_greenvn_post.json"
time="2022-11-18T18:37:46+05:30" level=info msg="==============================================================="
time="2022-11-18T18:37:46+05:30" level=info msg="PLAY START: play-A01-Internal-CreateAllocation-API id: A01"
time="2022-11-18T18:37:46+05:30" level=info msg="summary directory created."
time="2022-11-18T18:37:46+05:30" level=info msg="ITERATION START: 1"
time="2022-11-18T18:37:46+05:30" level=info msg="RUN START: act: act-1.001" act_api=LA_GREENVN_CREATE_ALLOCATION act_name=act-1.001 duration_in_second=180 iteration=1 play_id=A01 play_name=play-A01-Internal-CreateAllocation-API rate_per_second=40 rpm=2400 timeout_in_ms=120000 vegeta_keepalive=true
time="2022-11-18T18:38:03+05:30" level=error msg="504 Gateway Time-out" latency=10.495562772s seq=235 status_code=504
time="2022-11-18T18:38:03+05:30" level=error msg="504 Gateway Time-out" latency=10.487944781s seq=236 status_code=504
time="2022-11-18T18:38:03+05:30" level=error msg="504 Gateway Time-out" latency=10.489113901s seq=237 status_code=504
time="2022-11-18T18:38:03+05:30" level=error msg="504 Gateway Time-out" latency=10.496650512s seq=238 status_code=504
time="2022-11-18T18:38:03+05:30" level=error msg="504 Gateway Time-out" latency=10.504034558s seq=239 status_code=504
time="2022-11-18T18:38:03+05:30" level=error msg="504 Gateway Time-out" latency=10.488828048s seq=240 status_code=504
time="2022-11-18T18:38:03+05:30" level=error msg="504 Gateway Time-out" latency=10.492016063s seq=241 status_code=504
time="2022-11-18T18:38:03+05:30" level=error msg="504 Gateway Time-out" latency=10.497681831s seq=243 status_code=504
time="2022-11-18T18:38:03+05:30" level=error msg="504 Gateway Time-out" latency=10.488777366s seq=244 status_code=504
time="2022-11-18T18:38:03+05:30" level=error msg="504 Gateway Time-out" latency=10.494219176s seq=245 status_code=504
time="2022-11-18T18:38:03+05:30" level=error msg="504 Gateway Time-out" latency=10.493994576s seq=246 status_code=504
time="2022-11-18T18:38:03+05:30" level=error msg="504 Gateway Time-out" latency=10.488891012s seq=247 status_code=504
time="2022-11-18T18:38:03+05:30" level=error msg="504 Gateway Time-out" latency=10.496811673s seq=248 status_code=504
time="2022-11-18T18:38:03+05:30" level=error msg="504 Gateway Time-out" latency=10.490502395s seq=249 status_code=504
time="2022-11-18T18:38:03+05:30" level=error msg="504 Gateway Time-out" latency=10.486459263s seq=251 status_code=504
time="2022-11-18T18:38:03+05:30" level=error msg="504 Gateway Time-out" latency=10.49616983s seq=252 status_code=504
time="2022-11-18T18:38:03+05:30" level=error msg="504 Gateway Time-out" latency=10.490118691s seq=253 status_code=504
time="2022-11-18T18:38:03+05:30" level=error msg="504 Gateway Time-out" latency=10.492273201s seq=254 status_code=504
time="2022-11-18T18:38:03+05:30" level=error msg="504 Gateway Time-out" latency=10.487650327s seq=255 status_code=504
time="2022-11-18T18:38:03+05:30" level=error msg="504 Gateway Time-out" latency=10.492423707s seq=256 status_code=504
time="2022-11-18T18:38:03+05:30" level=error msg="504 Gateway Time-out" latency=10.484537652s seq=257 status_code=504
time="2022-11-18T18:38:03+05:30" level=error msg="504 Gateway Time-out" latency=10.488477716s seq=258 status_code=504
time="2022-11-18T18:38:03+05:30" level=error msg="504 Gateway Time-out" latency=10.493253096s seq=259 status_code=504
time="2022-11-18T18:38:03+05:30" level=error msg="504 Gateway Time-out" latency=10.491094319s seq=260 status_code=504
time="2022-11-18T18:38:03+05:30" level=error msg="504 Gateway Time-out" latency=10.48744599s seq=261 status_code=504
time="2022-11-18T18:38:03+05:30" level=error msg="504 Gateway Time-out" latency=10.494381713s seq=262 status_code=504
time="2022-11-18T18:38:03+05:30" level=error msg="504 Gateway Time-out" latency=10.496963015s seq=263 status_code=504
time="2022-11-18T18:38:03+05:30" level=error msg="504 Gateway Time-out" latency=10.490116433s seq=264 status_code=504
time="2022-11-18T18:38:03+05:30" level=error msg="504 Gateway Time-out" latency=10.491305865s seq=265 status_code=504
time="2022-11-18T18:38:03+05:30" level=error msg="504 Gateway Time-out" latency=10.491265354s seq=266 status_code=504
time="2022-11-18T18:38:03+05:30" level=error msg="504 Gateway Time-out" latency=10.49583442s seq=267 status_code=504
time="2022-11-18T18:38:03+05:30" level=error msg="504 Gateway Time-out" latency=10.495262827s seq=268 status_code=504
time="2022-11-18T18:38:04+05:30" level=error msg="504 Gateway Time-out" latency=10.492891256s seq=269 status_code=504
time="2022-11-18T18:38:04+05:30" level=error msg="504 Gateway Time-out" latency=10.497137828s seq=270 status_code=504
