time="2022-11-18T18:36:52+05:30" level=info msg="# playfiles selected for load-testing: 1"
time="2022-11-18T18:36:52+05:30" level=info msg="1.     /plays/internal/short_demo/play_greenvn_post.json"
time="2022-11-18T18:36:52+05:30" level=info msg="==============================================================="
time="2022-11-18T18:36:52+05:30" level=info msg="PLAY START: play-A01-Internal-CreateAllocation-API id: A01"
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=424.285927ms seq=387 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=672.801142ms seq=240 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=418.765873ms seq=394 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=1.025732087s seq=39 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=444.380325ms seq=388 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=1.025227438s seq=43 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=355.940343ms seq=454 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=1.024857011s seq=54 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=1.016593164s seq=64 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=592.932399ms seq=318 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=403.167999ms seq=434 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=640.661268ms seq=292 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=395.528507ms seq=439 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=423.82759ms seq=422 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=435.969337ms seq=416 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=1.048110829s seq=49 status_code=401
time="2022-11-18T18:36:53+05:30" level=error msg="401 Unauthorized" latency=428.885021ms seq=423 status_code=401
